P1;P2;Ran;Fu;Sex;Altura;Peso;Ativ
64;88;1;2;1;66;140;2
58;70;1;2;1;72;145;2
62;76;1;1;1;73,5;160;3
66;78;1;1;1;73;190;1
64;80;1;2;1;69;155;2
74;84;1;2;1;73;165;1
84;84;1;2;1;72;150;3
68;72;1;2;1;74;190;2
62;75;1;2;1;72;195;2
76;118;1;2;1;71;138;2
90;94;1;1;1;74;160;1
80;96;1;2;1;72;155;2
92;84;1;1;1;70;153;3
68;76;1;2;1;67;145;2
60;76;1;2;1;71;170;3
62;58;1;2;1;72;175;3
66;82;1;1;1;69;175;2
70;72;1;1;1;73;170;3
68;76;1;1;1;74;180;2
72;80;1;2;1;66;135;3
70;106;1;2;1;71;170;2
74;76;1;2;1;70;157;2
66;102;1;2;1;70;130;2
70;94;1;1;1;75;185;2
96;140;1;2;2;61;140;2
62;100;1;2;2;66;120;2
78;104;1;1;2;68;130;2
82;100;1;2;2;68;138;2
100;115;1;1;2;63;121;2
68;112;1;2;2;70;125;2
96;116;1;2;2;68;116;2
78;118;1;2;2;69;145;2
88;110;1;1;2;69;150;2
62;98;1;1;2;62,75;112;2
80;128;1;2;2;68;125;2
62;62;2;2;1;74;190;1
60;62;2;2;1;71;155;2
72;74;2;1;1;69;170;2
62;66;2;2;1;70;155;2
76;76;2;2;1;72;215;2
68;66;2;1;1;67;150;2
54;56;2;1;1;69;145;2
74;70;2;2;1;73;155;3
74;74;2;2;1;73;155;2
68;68;2;2;1;71;150;3
72;74;2;1;1;68;155;3
68;64;2;2;1;69,5;150;3
82;84;2;1;1;73;180;2
64;62;2;2;1;75;160;3
58;58;2;2;1;66;135;3
54;50;2;2;1;69;160;2
70;62;2;1;1;66;130;2
62;68;2;1;1;73;155;2
48;54;2;1;1;68;150;0
76;76;2;2;1;74;148;3
88;84;2;2;1;73,5;155;2
70;70;2;2;1;70;150;2
90;88;2;1;1;67;140;2
78;76;2;2;1;72;180;3
70;66;2;1;1;75;190;2
90;90;2;2;1;68;145;1
92;94;2;1;1;69;150;2
60;70;2;1;1;71,5;164;2
72;70;2;2;1;71;140;2
68;68;2;2;1;72;142;3
84;84;2;2;1;69;136;2
74;76;2;2;1;67;123;2
68;66;2;2;1;68;155;2
84;84;2;2;2;66;130;2
61;70;2;2;2;65,5;120;2
64;60;2;2;2;66;130;3
94;92;2;1;2;62;131;2
60;66;2;2;2;62;120;2
72;70;2;2;2;63;118;2
58;56;2;2;2;67;125;2
88;74;2;1;2;65;135;2
66;72;2;2;2;66;125;2
84;80;2;2;2;65;118;1
62;66;2;2;2;65;122;3
66;76;2;2;2;65;115;2
80;74;2;2;2;64;102;2
78;78;2;2;2;67;115;2
68;68;2;2;2;69;150;2
72;68;2;2;2;68;110;2
82;80;2;2;2;63;116;1
76;76;2;1;2;62;108;3
87;84;2;2;2;63;95;3
90;92;2;1;2;64;125;1
78;80;2;2;2;68;133;1
68;68;2;2;2;62;110;2
86;84;2;2;2;67;150;3
76;76;2;2;2;61,75;108;2
